Date,Amount,Item,Category,Split,Not Me
Refill,refill,refill,refill,refill,refill
2024-06-14,124,milk,utility,1,0
2024-06-14,50,petrol,travel,1,0
2024-06-15,146,vegetables,utility,1,0
2024-06-15,150,recharge,utility,1,0
2024-06-16,195,breakfast,utility,1,0
2024-06-17,30,chocobake,food,1,0
2024-06-17,150,haircut,utility,1,0
2024-06-17,150,scooter-repair,utility,1,0
2024-06-17,20,stationery,utility,1,0
2024-06-18,20,fruits,utility,1,0
2024-06-18,30,milk,utility,1,0
2024-06-18,250,petrol,travel,1,0
2024-06-18,80,hospital,utility,1,0
2024-06-19,60,hospital,utility,1,0
2024-06-20,27,milk,utility,1,0
2024-06-21,200,petrol,utility,1,0
2024-06-21,30,idk,utility,1,0
2024-06-22,30,vegetables,utility,1,0
2024-06-23,120,grocery,utility,1,0
2024-06-23,26,buns,food,1,0
2024-06-23,45,ice-cream,food,1,0
2024-06-23,35,dabeli,food,1,0
2024-06-24,60,vim,utility,1,0
2024-06-24,27,curd,utility,1,0
2024-06-25,200,petrol,travel,1,0
2024-06-25,50,coffee,food,1,1
2024-06-25,70,food,food,2,0
2024-06-26,100,snickers,food,1,1
2024-06-26,200,petrol,travel,1,0
2024-06-26,10,bun,food,1,0
2024-05-26,150,sandwich,food,2,0
2024-06-26,97,stationery,utility,1,0
2024-06-27,42,vegetables,utility,1,0
2024-06-27,40,chocolate,food,1,1
2024-06-27,185,jam,utility,1,0
2024-06-27,545,amazon,utility,1,0
2024-06-28,12,coffee,food,1,1
2024-06-28,200,petrol,travel,2,0
2024-06-28,40,samosa,food,2,0
2024-06-28,700,milano,food,1,0
2024-06-29,50,snickers,food,1,1
2024-06-28,132,wraps,food,2,0
2024-06-28,87,quesadilla,food,2,0
2024-06-28,109,rice-bowl,food,2,0
2024-06-29,50,brownie,food,2,0
2024-06-29,20,juice,food,2,0
2024-06-29,60,ocean,food,2,0
2024-06-29,200,petrol,travel,2,0
2024-06-29,93,pasta,food,2,0
2024-06-29,67,garlic-bread,food,2,0
2024-06-29,15,nutties,food,2,0
2024-06-30,297,yash,food,1,0
2024-07-01,66,dosa,food,2,0
2024-07-02,80,flowers,utility,1,0
2024-07-02,64,milk,utility,1,0
Refill,refill,refill,refill,refill,refill
2024-07-06,249,recharge,utility,1,0
2024-07-07,27,curd,utility,1,0
2024-07-08,20,parking,utility,1,0
2024-07-08,98,stationery,utility,1,0
2024-07-09,40,bread,utility,1,0
2024-07-10,90,vegetables,utility,1,0
2024-07-11,1500,basketball-fees,utility,1,0
2024-07-11,60,flower,utility,1,0
2024-07-11,100,petrol-activa,travel,1,0
2024-07-12,226,groceries,utility,1,0
2024-07-13,70,vegetables,utility,1,0
2024-07-13,83,vegetables,utility,1,0
2024-07-13,727,behtar,utility,1,0
2024-07-14,37,vegetables,utility,1,0
2024-07-14,47,mango,utility,1,0
2024-07-14,120,clothes-iron,utility,1,0
2024-07-14,54,milk,utility,1,0
2024-07-10,15,chocolate,food,1,0
2024-07-10,200,petrol-jupiter,travel,1,0
2024-07-16,200,petrol-jupiter,travel,1,0
2024-07-16,30,chocos,utility,1,0
2024-07-16,60,flowers,utility,1,0
2024-07-17,86,vegetables,utility,1,0
2024-07-17,195,avalakki,utility,1,0
2024-07-17,29,menthiya,utility,1,0
2024-07-18,75,milk,utility,1,0
2024-07-19,167,behtar,utility,1,0
2024-07-20,100,vegetables,utility,1,0
2024-07-20,50,coconut,utility,1,0
2024-07-21,545,behtar,utility,1,0
2024-07-23,300,petrol-jupiter,travel,1,0
2024-07-23,60,flowers,utility,1,0
2024-07-20,70,hot-chips,utility,1,0
2024-07-25,78,milk,utility,1,0
2024-07-25,150,haircut,utility,1,0
2024-07-25,55,bread,utility,1,0
2024-07-25,92,vegetables,utility,1,0
2024-07-26,176,vegetables,utility,1,0
2024-07-26,8,milk,utility,1,0
Refill,refill,refill,refill,refill,refill
2024-07-27,130,milk+chocos,utility,1,0
2024-07-28,100,idk,utility,1,0
2024-07-27,284,ibaco,food,1,0
2024-07-28,138,milk+chocos,utility,1,0
2024-07-29,108,milk,utility,1,0
2024-07-30,153,milk+bread,utility,1,0
2024-07-30,53,grandige,utility,1,0
2024-07-30,60,vegetables,utility,1,0
2024-07-31,140,milk+custard,utility,1,0
2024-07-31,25,banana,utility,1,0
2024-07-30,90,vegetables,utility,1,0
2024-07-29,26,idk,utility,1,0
2024-08-01,50,vegetables,utility,1,0
2024-08-01,200,petrol-jupiter,travel,1,0
2024-08-01,75,milk,utility,1,0
2024-08-02,150,milk+bread,utility,1,0
2024-08-02,1525,dandruff-medicine,utility,1,0
2024-08-02,10,parking,utility,1,0
2024-08-03,104,milk,utility,1,0
2024-08-03,250,recharge,utility,1,0
2024-08-04,15,metro,travel,1,0
2024-08-04,300,go-karting,me,1,0
2024-08-04,45,soup,food,1,0
2024-08-04,50,coconut,food,1,0
2024-08-04,30,coffee,food,1,0
2024-08-04,30,odomos,utility,1,0
2024-08-04,54,milk,utility,1,0
2024-08-05,20,chocolate,food,2,0
2024-08-05,10,chocolate,food,2,0
2024-08-05,80,honey-chilli,food,2,0
2024-08-06,35,chocolate,food,1,1
2024-08-06,15,xerox,utility,1,1
2024-08-06,60,fries,food,2,0
2024-08-06,20,juice,food,2,0
2024-08-08,10,chocolate,food,2,0
2024-08-08,200,petrol-activa,travel,2,0
2024-08-07,10,chocolate,food,2,0
2024-08-09,230,paneer+garam-masala,utility,1,0
2024-08-09,1000,dentist,utility,1,0
2024-08-10,50,flowers,utility,1,0
Refill,refill,refill,refill,refill,refill
2024-08-10,746,behtar,utility,1,0
2024-08-11,200,petrol,travel,2,0
2024-08-11,100,milk,utility,1,0
2024-08-12,20,chocolate,food,1,1
2024-08-12,69,milk,utility,1,0
2024-08-12,35,vegetable,utility,1,0
2024-08-13,50,food,food,2,0
2024-08-13,50,brownie,food,2,0
2024-08-13,108,milk,utility,1,0
2024-08-14,25,maggie,food,2,0
2024-08-14,80,pasta,food,3,0
2024-08-14,10,roll,food,2,0
2024-08-15,50,breakfast,food,2,0
2024-08-15,402,behtar,utility,1,0
2024-08-16,30,coffee,food,1,1
2024-08-16,80,parotta,food,1,0
2024-08-16,108,milk,utility,1,0
2024-08-16,200,petrol,travel,2,0
2024-08-16,13,stationery,utility,1,0
2024-08-17,240,breakfast,utility,1,0
2024-08-17,81,milk,utility,1,0
2024-08-18,480,rakshabandhan-chocolate,utility,1,0
2024-08-20,10,chocolate,food,2,0
2024-08-20,260,sabudana,utility,1,0
2024-08-20,10,vegetable,utility,1,0
2024-08-21,50,milk,utility,1,0
2024-08-22,390,oil,utility,1,0
2024-08-23,10,vegetable,utility,1,0
2024-08-24,15,vegetable,utility,1,0
2024-08-24,30,ors,utility,1,0
2024-08-24,20,chocolate,food,2,0
2024-08-24,200,petrol,travel,2,0
2024-08-24,20,tomato,utility,1,0
2024-08-24,26,milk,utility,1,0
2024-08-24,300,tallentex,utility,1,0
2024-08-25,175,kavali,utility,1,0
2024-08-25,200,pasta,food,1,0
2024-08-25,70,dabeli,food,2,0
2024-08-26,30,vegetable,utility,1,0
2024-08-19,80,honey-chilli,food,2,0
2024-08-19,20,chocolate,food,2,0
2024-08-22,200,petrol,travel,2,0
2024-08-22,10,chocolate,food,2,0
2024-08-25,60,burrito,food,1,0
2024-08-26,10,chocolate,food,2,0
2024-08-26,20,chocolate,food,1,0
2024-08-27,15,chocolate,food,1,0
2024-08-28,80,pasta,food,2,0
2024-08-28,80,honey-chilli,food,4,0
2024-08-28,200,petrol,travel,2,0
2024-08-29,40,chocolate,food,2,0
2024-08-29,60,momos,food,2,0
2024-08-30,40,sandwich,food,2,0
Refill,refill,refill,refill,refill,refill
2024-09-01,250,recharge,utility,1,0
2024-09-01,216,breakfast,utility,1,0
2024-09-01,100,medicine,utility,1,0
2024-09-01,150,vegetables,utility,1,0
2024-09-01,150,haircut,utility,1,0
2024-09-01,50,cabbage,utility,1,0
2024-09-02,50,milk,utility,1,0
2024-09-02,200,petrol,travel,1,0
2024-09-02,20,chocolate,food,2,0
2024-09-02,30,stationery,utility,1,0
2024-09-03,200,puliogare,utility,1,0
2024-09-03,78,milk,utility,1,0
2024-09-03,240,medicine,utility,1,0
2024-09-04,25,lemon,utility,1,0
2024-09-04,60,mousse,food,2,0
2024-09-04,93,paneer,utility,1,0
